,date,symbol,mcap,price,volume
501,20160201,XRP,221896025.22,0.006542,830380.5
502,20160201,ETH,169654756.91,2.21,3994097.5
503,20160201,LTC,136343305.35,3.08,1502434.13
504,20160201,DOGE,27810850.52,0.0002702,629833.88
505,20160201,DASH,25486534.82,4.12,61712.65
506,20160201,PPC,9572782.41,0.417,43320.4
507,20160201,MAID,8734883.98,0.0193,40138.43
508,20160201,XLM,8670001.13,0.001792,14159.0
509,20160201,BTS,8560037.83,0.00337,33608.46
510,20160201,NXT,8002617.44,0.008003,39672.38
511,20160201,FCT,7276862.08,0.8313,185127.09
512,20160201,EMC,6924676.07,0.1875,28689.24
513,20160201,BCN,6612662.89,3.699e-05,3916.84
514,20160201,YBC,5434034.06,1.81,15226.46
515,20160201,NMC,5428041.03,0.4015,5558.66
516,20160201,XMR,5421156.16,0.498,42353.98
517,20160201,VASH,4929403.4,0.01231,490864.22
518,20160201,XEM,4562727.76,0.000507,52135.02
519,20160201,NSR,2733848.06,0.003325,569.09
520,20160301,BTC,6643690381.0,435.12,74895840.0
521,20160301,ETH,592677834.28,7.65,23098114.0
522,20160301,XRP,272919685.8,0.008006,738772.38
523,20160301,LTC,153542162.9,3.43,1133576.38
524,20160301,MAID,36519082.52,0.0807,1256941.0
525,20160301,DOGE,25694837.56,0.0002487,104086.98
526,20160301,DASH,24414124.54,3.9,195997.95
527,20160301,PPC,10644750.98,0.4623,18805.09
528,20160301,BTS,10043381.04,0.003947,74522.99
529,20160301,XMR,9477381.96,0.848,204620.5
530,20160301,XLM,9235939.0,0.001909,15993.53
531,20160301,FCT,8481595.44,0.9689,109334.62
532,20160301,AGRS,7893592.72,0.1879,3291.54
533,20160301,EMC,7819185.14,0.2102,10685.77
